Country,Regulator,Issuance,Year,Scope,Fair treatment & market conduct,Safeguarding of Funds,Transparency & disclosure,"Product design, suitability & distribution",Pricing & fees,Consumer data protection & privacy,Consumer redress & dispute resolution,Complaints Handling,Consumer education & awareness,Vulnerable & special consumer groups,Reporting requirements,Sanctions,Unnamed: 18,Source_Original,Source_EN,Amendment_Of
Myanmar,Central Bank of Myanmar (CBM),Regulation on Mobile Financial Services (FIL/R/01/03‑2016),2016.0,Mobile Financial Services Provider (MFSP),-A MSFP is legally responsible for the actions of its agent to the extent that they relate to the conducting of MFS transactions and matters connected therewith,"- MSFP shall keep 100 percent float held in trust account at the bank consisting of liquid assets and it shall remain unencumbered and not be commingled at any time with any others funds of the MFSP
- The returns or interest earned from the liquid assets in the trust account, shall be declared to the Central Bank on an annual basis and be utilized for the benefit of customers as approved by the Central Bank.
- The Central Bank may set a limit on the number of MFS accounts in a pooled account in any one bank held on behalf of a MFSP.
- Every MFSP shall on an ongoing basis, but by no later than 4.00 pm each day, reconcile the balance in the trust account against the float","-MFSP shall enter into a written agreement, physical or electronic, with every MFS account holder for whom they open an account. The agreement shall at minimum:
 (1) identify the account holder;
 (2) provide clear guidance on the account holders’ right of redemption and ownership of value held in their accounts; and include information on available redress procedures for complaints together with the address and contact information of the MFSP.

- MFSP shall ensure that prospective customers understand the key features of the products and services offered.
-The marketing of mobile financial services shall be based on the general principles of honesty and transparency.
- The addresses, telephone numbers and e-mail address of the MFSP must be included in all marketing materials of the MFSP.
-Each MFSP shall provide a list consisting of name and location of all its customer service points and its agents and a description of its mobile financial services products to its customers either through its website or in a mode that is accessible by its customers. ","-A commercial bank seeking to conduct mobile financial services shall apply to the Central Bank for product approval
-MFSP shall implement mobile financial services that is able to provide interoperable services with other MFSPs at various level of interoperability suitable to the market demands including at agent, customer or mobile platform level","-the Central Bank may from time to time, if necessary, prescribe the range of fees and charges that can be imposed by a MFSP
-Agents shall not charge customers any fee other than the fees authorized by the MFSP
-Each MFSP shall make available information on all fees and service charges for mobile financial services transactions to its customer ","Each MFSP and its agents and intermediaries if any, shall ensure privacy and confidentiality of customer information and data. ","-Where a customer is not satisfied with outcome of a complaint, the MFSP shall give the customer the right to pursue an identified escalation process to examine outcome.","-MFSP shall set up effective process and procedures to enable customers to submit complaints in respect of mobile financial services transactions.

the complaints procedures must-
 (a) provide easily understood information about the customer care system that is accessible during normal and after business hours
 (b) allow for complaints to be lodged orally or in writing
 (c) duration within which the complaint must be lodged; and
 (d) provide for complaints to be resolved within 5 business days from the date of receipt of complaint. An additional 10 business days can be taken to resolve the complaint provided the customer is informed of the same.

'-MFSP shall acknowledge a complaint filed by the customer and provide a reference number and sufficient information to enable the complainant to inquire the progress of the complaint.
-MFSP shall advise the complainants of the outcome of the investigation of their complaint, and any resulting decision of the MFSP.",,,"-Every MFSP shall submit reports to the Central Bank as may be required by the Central Bank.
-Any substantial change or enhancement in the MFS payment system which an MFSP intends to introduce shall be subject to the approval of the Central Bank and the
MFSP shall notify the Central Bank in writing 30 days prior to the proposed implementation of the change or enhancement.
-A MFSP shall notify the Central Bank in writing promptly, but no later than two business days of suspected/confirmed fraud, security breaches, service interruption, outages of the MFS system that lasted more than 2 hours, indications of loss of confidential data
-MFSP shall submit to the Central Bank, details and outcome of the complaints made by mobile financial services customers every six month","Enforcement tools including corrective actions, cease and desist order, and registratoin revocation.",,https://www.cbm.gov.mm/sites/default/files/regulate_launder/_fil-r-01_mobile_financial_services_regulation_eng_final_website_4-4-2016_-5.pdf,https://www.cbm.gov.mm/sites/default/files/regulate_launder/_fil-r-01_mobile_financial_services_regulation_eng_final_website_4-4-2016_-5.pdf,
Myanmar,Central Bank of Myanmar (CBM),MyanmarPay - Digital Payment System (Code of Conduct & Rules and Procedures for Person to Merchants (P2M)),2024.0,"Banks, financial institutes, mobile financial service providers (MFSPs), merchant acquiring services, payment system operators, and merchants.","The guidelines govern the activities of participants, ensuring transparency, security, and fairness for all stakeholders, including consumers, merchants, financial institutions, and regulatory bodies.

'-Prior to launching any new product or service under the MyanmarPay Digital Payment Switch, participants must submit a detailed go-tomarket plan to the Central Bank of Myanmar.
This plan must include product details, pricing structures, marketing strategies, and target customer segments",The Receiving Institution (RI) is responsible for ensuring that merchant funds are not diverted to unauthorized accounts.,"-Participants must commit to build consumer and merchant trust through clear, consistent communication of fees, terms, and services",,"Central Bank of Myanmar reserve the rights to revise the MDR and Merchant categories from time to time based on factors including inflation, technology, changes in consumer behavior, market competition.","-All sensitive data, including transaction and customer information, must be encrypted during transmission and at rest to ensure data integrity and confidentiality.
All participants must:
Consumer Consent: Obtain explicit consent from consumers before collecting, storing, or processing personal information. Consumers must also be informed of their rights to access, correct, or delete their data.

Data Security Policies: Implement strong and healthy data security policies that cover encryption, access control, and secure storage.","Level 1 - Step -1: Originated Institution: Disputes may first be raised by the Originated Institution (OI) to MyanmarPay dispute team to help investigate it.
Level 1 – Step -2: MyanmarPay dispute team investigation: The MyanmarPay Disputes Team will investigate the dispute and forward it to the Receiving Institution (RI)
Level 1- Step -3: Receiving Institution: The Receiving Institution will investigate and decide to accept or reject the dispute.

Level 2 – Arbitration Committee: In case the dispute remains unresolved at level- 1, the matter may be escalated to Arbitration committee for final decision. The Arbitration Committee will includerepresentatives from Central Bank of Myanmar, MyanmarPay Dispute team, Receiving Institution (RI), and Originated Institution (OI), with an equal number of representatives from both RI and OI.","Participants are required to have dedicated dispute management teams to work in tandem
with the MyanmarPay Dispute Handling Team. Dispute handling teams must ensure the
timely and transparent handling of disputes between customers and institutions. The
MyanmarPay team is responsible for managing disputes between participants and
overseeing the escalation process.",,,"Participants are required to submit transaction summary reports, security incident reports, customer satisfaction and complaint reports, among others ",Allows suspension or termination of participants for non-compliance or regulatory breaches.,,https://myanmarpay.com.mm/frontend/assets/files/COCwithSetttlementandMFSP.pdf,https://myanmarpay.com.mm/frontend/assets/files/COCwithSetttlementandMFSP.pdf,
Myanmar,Ministry of Commerce,Consumer Protection Law,2019.0,Consumers and Entrepreneurs,The duties of entrepreneur include treating consumers honestly and properly without discrimination,The consumer has the right to claim the right for compensation in case of damage arising from the failure to provide product information.,"- Consumers' rights include having the right to know information correctly and completely, and obtain the receipt or
document in buying and using the goods or service
- The duties of entrepreneur include providing the simple and correct information regarding the guarantee and requirements of goods or service, expressing the additional costs of goods or service to be known by the consumer before purchase
-No entrepreneur shall advertise  the false information related to the quality, quantity, ingredients, mode of use, price, rate of service and time needed to deliver the goods or service; false information in respect of goods or service","
The duties of entrepreneur include providing the opportunity to test on goods for consumers which is required to test quality before purchase

The entrepreneur shall cause to include  in the guarantees of goods having the quality that can be accepted and used by the consumer, correcting the quality, measure and weight of goods, safety, suitability for the need of consumers","The duties of entrepreneur expressing the additional costs of goods or service to be known by the consumer before purchase

No entrepreneur shall deceive the goods or service traded by increasing the price before the sale promotion",,"-To settle dispute, The relevant Office shall:
(a) examining the required documents and other exhibits related to the investigation;
(b) summoning to mediate the entrepreneur who is complained or his legal representative;
(c) summoning and examining the consumer and the entrepreneur or his legal representative in the presence of the person who knows the consumer’s complaint or eye witness and consumer protection experts;
(d) deciding the ex parte if the entrepreneur who is complained or his legal representative fails to be present the mediation;
(e) examining whether there is damage on the consumer and mediating it;
(f) notifying the entrepreneur who commits the complaint about the agreement of the consumer protection;
(g) submitting to the Committee if the committed entrepreneur fails to comply with the agreement under sub-section (f). ","- If any of the following person or organization wants to file the damage of the consumer, they may file the complaint to the relevant Office in person or any form of the social media together with evidence","-Myanmar Consumer Protection Commission shall educate on the consumer protection activities and disseminating information about it
-The Consumer Protection Associations may coordinate with the Department to provide consumer awareness and distribute information to the consumer related to the consumer protection activities.",,,"Administrative (fines, refunds, business restrictions), civil, and criminal penalties for violations",,"https://www.doca.gov.mm/sites/default/files/Consumer%20Protection%20Law_0.pdf
https://faolex.fao.org/docs/pdf/mya214098.pdf","https://www.doca.gov.mm/sites/default/files/Consumer%20Protection%20Law_0.pdf
https://faolex.fao.org/docs/pdf/mya214098.pdf",
Philippines,Bangko Sentral ng Pilipinas,"Financial Products and Services Consumer Protection Act (RA 11765)
BSP Circular No. 1160 (Implementing Regulations of RA 11765)",2022.0,all financial products or services offered or marketed by any financial service provider,"-The State shall implement measures to protect the following rights of financial consumers to equitable and fair treatment                                                                                                             -Financial service providers shall have the right to select their clients; Provided, That they shall not discriminate against clients on the basis of race, age, financial capacity, ethnicity, origin, gender, disability, health condition, sexual orientation, religious affiliation, or political affiliation -financial service providers may provide distinction, as necessary, when making a risk assessment on a specific financial product or service. Financial service providers are prohibited from employing abusive collection or debt recovery practices against their financial consumers. ","-The state shall implement measures to protect consumer assets against fraud and misuse

==
Unauthorized Transactions.Concerns or disputes about fund transfers or alleged unauthorized transactions shall be filed with the Originating Financial Institution (OFl). The OFI is primarily responsible for providing assistance and redress to its Clients. Upon receipt of fund transfer disputes or alleged unauthorized transactions, the OFI shall immediately inform and provide relevant details to the Receiving Financial Institution (RFl). OFls and RFls should then implement the following, pending the result of the investigation of the dispute or allegation:                                                                                                                                                         '-Hold the disputed funds, if still intact, in compliance with BSI policies, existing Bangko Sentral rules and regulations, or industry conventions;                                                                                                                                                                       
-Perform such other necessary actions to protect the Financial Consumer's interest and/or assets, such as but not limited to, account blocking or freezing of funds.","-Financial service providers must ensure that they adopt disclosure principles in their communications and their contracts with financial consumers, including the use of clear and concise language to ensure that all information concerning the financial product or service is understood by the target clients.
-Sufficient product disclosure must be provided before the contracting of the financial product or service to give the client enough basis and time for review. Any change in the terms or conditions of a financial product or service shall be provided to the client.
-In their advertising materials, financial service providers shall disclose the contact information of their consumer assistance unit providing consumer assistance and handling financial consumer complaints. Financial service providers shall also disclose that they are regulated and the advertising materials must identify the relevant financial regulator.
-Disclosure of information on financial products or services shall be made available to the public by the financial service provider through printed materials, mass media, websites or digital platforms.

====
BSls must ensure that their Financial Consumers have a reasonable comprehensive understanding of the financial products and services which they may be acquiring or availing.","Financial service providers shall continuously evaluate their financial products or services to ensure that they are appropriately targeted to the needs, understanding and capacity of both their markets* and their clients. This shall include, among others, the following;
(1) Affordability and suitability assessments                    
(2) Cooling-off period                                                             
(3) Pre-payment of loans and other credit

====

BSIS are expected to ensure that their financial products or services are adequately aligned with the Financial Consumers' needs, goals, understanding and financial capabilities. BSIs shall gather consumer insights and/or analytics on consumer behavior, characteristics and constraints to properly identify a target market, design and deliver or distribute their financial products and services accordingly, with attention to the needs of vulnerable segments.

BSIs should have written procedures for determining whether a particular financial product or service is suitable and affordable for their Clients. This shall include the determination of whether the amount and terms of the offered financial product or service allow various Clients to meet their respective obligations with a low probability of a serious hardship, and that there is a reasonable prospect that the financial product or service will provide value to the Client. For the purpose of extending credit, this assessment should include measures to prevent over-indebtedness.

When making a recommendation to a Financial Consumer:                                                                                                       
 (1) BSIS that will conduct suitability assessment should inform their Clients, clearly and simply, about the suitability assessment, its purpose, and the BSI's responsibility to conduct the assessment under relevant regulations so that Clients understand why they are asked to provide certain information. xxx                                                                   
 (2) BSIS should offer products or services that are in line with the risk profile and/or preferences of their Clients. xxx                                                                                         (3) BSIs should advise their Clients that in case of incomplete information or misrepresentations made in the suitability assessments, the BSI is not in a position to accurately determine whether the product or service is appropriate for them.","-Financial regulators may also determine reasonableness of interest, charges or fees which a financial service provider may demand, collect, or receive for any service or product offered to a financial consumer.
-Financial service providers must have internal policies and procedures for setting prices for their products and services that take into consideration, among others, the principle of responsible pricing

===
Pricing procedures and documentation should provide the rationale for why and how prices have been set. Pricing procedures must consider publicly available information on competitive pricing, except in special instances of tailor-fit and/or pioneering products and/or services, the cost to provide the financial product or service and affordability to Clients, and the reasons for setting the price of each financial product or service must be duly-documented.","- Each financial service provider must respect the privacy and protect the data of their clients. Consistent with the provisions of Republic Act No. 10173, otherwise known as the “Data Privacy Act of 2012”, the financial regulators shall issue regulations in coordination with the National Privacy Commission, governing the disclosure of client data to a third party.

'- Financial service providers shall adopt and implement information security standards to ensure the safety and protection of the confidentiality, integrity, availability, authenticity, and non­repudiation of the client's information and financial transactions and to ensure the data privacy of their clients. The financial regulators shall prescribe the minimum information security standards for compliance by all financial service providers.

====
The principles include having well-articulated privacy notices and policies, specifying and declaring the purpose/s for processing and criteria being relied on as the lawful basis for processing Client data, ensuring that the processing is necessary and not excessive in relation to the purpose, and implementing reasonable and appropriate information security measures and well-defined protocols for upholding data subject rights, among others.

Under this consumer protection standard on client information, Financial Consumers have the right to expect implementation of the most appropriate safeguards ensuring the confidentiality, integrity, and availability of their financial transactions, as well as expect that all relevant personal information lawfully disclosed in the course of a transaction, are kept confidential and are secured.","Financial regulators shall provide efficient and effective consumer redress or complaints handling mechanism such as mediation, conciliation or other modes of alternative dispute resolution to address conflict/dissatisfaction from financial consumers arising from financial products or services.The financial consumer may avail of the mechanism prior to adjudication.

===
Under this Standard, Financial Consumers should be provided with accessible, independent, fair, accountable, timely, and efficient means for resolving concerns, inquiries and requests about their financial transactions. BSIS should have in place mechanisms for complaint handling and redress and may employ various modalities or technological innovations for complaints handling. "," Each financial service provider must establish a single consumer assistance mechanism for free assistance to financial consumers on financial transactions concerns. This shall include handling of complaints, inquiries and requests.

===
The regulations mandate: Financial Consumer Protection Assistance Mechanism (FCPAM). Each BSI must establish a single FCPAM, commensurate to the size, structure, nature of products and services, and complexity of operations, to provide free assistance to Financial Consumers on their concerns about the BSI's financial products, services and/or transactions. This shall include handling of complaints, inquiries and requests",," Financial service providers shall have the right to select their clients; Provided, That they shall not discriminate against clients on the basis of race, age, financial capacity, ethnicity, origin, gender, disability, health condition, sexual orientation, religious affiliation, or political affiliation: Provided, further. That financial service providers may provide distinction, as necessary, when making a risk assessment on a specific financial product or service. Financial service providers are prohibited from employing abusive collection or debt recovery practices against their financial consumers.

===
The standards for disclosure and transparency shall be applicable even to financial products and services offered electronically, as well as to financial products catering to different market segments with particular consideration for segments that may have limited financial literacy.","Financial regulators shall have the authority to require their respective supervised financial service providers and their third party agents/service providers to submit reports or documents, as needed.","-Any persons who willfully violates this Act or the rules, regulations, orders, or instructions issued by the financial regulators to implement this Act, shall be punished by imprisonment of not less than one (1) year, but not more than five (5) years, or by a fine of not less than Fifty thousand pesos (P50,000.00) but not more than Two million pesos (P2,000,000.00), or both, at the discretion of the court: Provided, That if the violation is committed by a corporation or a juridical entity, the directors, officers, employees, or other officers who are directly responsible for such violation shall be held liable thereto.

===
under FCPA Section 6 (d) and the criminal sanctions provided under FCPA Section .l5, the administrative sanctions under RA No. 7653, as amended, shall be made applicable to the BSl, its directors, trustees, officers, employees or agents for violation of the FCPA, its IRR and any related rules, regulations, orders or instructions of the Bangko Sentral. ",,https://legacy.senate.gov.ph/republic_acts/ra%2011765.pdf,https://www.bsp.gov.ph/Regulations/Issuances/2022/1160.pdf,
Philippines,Bangko Sentral ng Pilipinas,BSP Circular No. 980 (Adoption of National Retail Payment System Framework),2017.0,"all retail payment-related activities, mechanisms, institutions and users",Objectives of the regulation include promoting fair access and competition amongst NRPS participants,,"-the retail payment system and activities that BSFIs participate in should establishs trengthened risk management through a better, holistic and multi-stakeholder approach to governance, and an enhanced transparency of clearing and settlement transactions classified according to risk profile",,"-The BSFI's board of directors shall adopt a policy on the imposition of any fee on electronic payment transactions. The policy shall include The basis and quantitative support for the setting of fees and rationalization of the fee structure or amount. lmposition of fees for transactions performed by BSFIs
that meet the requirements in ltem ""a"" of this Subsection shall be consistent with the following:
(1) On consumer pricing -
(a) BSFIs shall adopt reasonable and fair market-based pricing models, which do not arise from agreements with other BSFIs to fix the price of product or
service delivery.
(b) The service fees for electronic payments are expected to be lower than the fees collected from transactions made manually or over-the-counter (OTC)
as electronic payments are considered to provide more efficient and costeffective means of delivering service.
(c) The recipient shall not pay for electronic crediting to recipient's account and the recipient shall receive the amount in full. Such account to account fund
transfers shall not be considered as domestic remittance transactions


=The BSFI shall disclose to the Bangko Sentral the details of all fees that will be charged to the client. This will be posted in an electronic bulletin board of fees for transactions performed under the NRPS framework.",,,,,,"BSFIs shall make available all policies, procedures and other documents/information related to this Section during the on-site examination, as well as provide copies thereof when a written request is made by the Bangko Sentral","- the Bangko Sentral may deploy enforcement actions to promote adherence to the requirements
- The Bangko Sentral may issue directives to enforce compliance with the NRPS Framework or impose sanctions to limit the level of or suspend any business activity that has adverse effects on the safety and soundness of the BSFI, among others.",,https://www.bsp.gov.ph/Regulations/Issuances/2017/c980.pdf,https://www.bsp.gov.ph/Regulations/Issuances/2017/c980.pdf,
Philippines,Bangko Sentral ng Pilipinas,"BSP Circular No. 1169 (Rules of Procedure for the Consumer Assistance Mechanism, Mediation and Adjudication of Cases in the BSP",2023.0,"financial products and services of BSls and/or violations of the provisions of the FCPA, with provided exemptions in the Circular (page 3)",,,,,,,"-The BSI's Flnancial Consumer Protection Assistance Mechanism (FCPAM) is a first-level recourse mechanism for financial consumers who are dissatlsfled with a financial
product or service. Complainants are required to report their concern to the BSI involved through such BSI's FCPAM.
The BSP-CAM ls a second-level recourse mechanlsm fior financial consumers who have reported their concerns to the BSI involved, through such BSI's FCPAM, and are not satisfied wlth how the BSI handled their concerns on the latter's conduct, products and seruices, or whose concerns were not acted upon bythe BSI's FCPAM within a reasonable perlod. The BSP-CAM is primarily facllitatlve in nature and is aimed at clariffing financial consumer issues by allowing the partles to communicate with each other through the BSP

The BSP-CAM is a condition precedent to both mediation and adjudicatlon.
The Complainant has the option to proceed either to mediation or adjudlcatlon after resort to BSP-CAM and, subject to compliance wlth the requirements of these Rules.

Process involves filing , acknowledgement and directive to answer, reply and rejoinder, escalation to mediation/adjudication, and termination",,,,,"-monetary restitution or reimbursement, including allowable damages ",,https://www.bsp.gov.ph/Regulations/Issuances/2023/1169.pdf,https://www.bsp.gov.ph/Regulations/Issuances/2023/1169.pdf,
Philippines,Bangko Sentral ng Pilipinas (BSP),BSP Circular No. 1195 (Consumer Redress Mechanism Standards);,2024.0,All CSOs and ACH participants providing domestic account-to-account Electronic Fund Transfers,,,"-Fls have the primary responsibility of communicating to the sender, as their own accountholders, the status and updates on investigations, and resolution of unauthorized and/or erroneous transactions
-The ACH operating guidelines must clearly define thefollowing guidelines on notifications:
(1) The OFl shall timely provide notification to inform the sender about the accurate status of the EFT. Subsequent notifications mustlikewise be provided for updates or resolution,
(2) The RFl shall timely provide notification to the beneficiary about the funds received in the beneficiary account.
The OFls and RFls shall utilize effective models of notification that will ensure the receipt by the sender and/or beneficiary of the required information under this provision. Both OFl and the RF! must include relevant transaction details that will allow both sender and beneficiary to easily identify the EFT. Common language must be observed by all ACH participants in the notification message, particularly in relaying the actual
status of the EF",,,,"-Return of funds:
For instant retail payments and corresponding use cases, the amount debited from the sender's account shall be returned to the sender's
account within one (1) hour from receipt of sender instruction. This shall apply to rejected transactions, returned transactions, and timed-out
transactions.
For batch clearing and settlement of electronic payments and corresponding use cases, the amount debited from the sender's account
shall be returned to the sender's account within two (2) hours from receipt of settlement report from the CSO for rejected transactions and
returned transaction

The sender shall not bear fees for unsuccessful transactions as well as for EFTs that did not materialize due to disruption of operations of either the CSO or ACH participants. The ACH operating guidelines shall provide parameters to determine the entity-at-fault who will shoulder any cost related to the EFTs affected by such circumstances.
In all cases, the rules on collection and return of EFT fees must be clearly communicated to consumers by disclosing such information in various channels and publicly available materials, pursuant to existing Bangko Sentral regulations on Disclosure and Transparency",,,,,,,https://www.bsp.gov.ph/Regulations/Issuances/2024/1195.pdf,https://www.bsp.gov.ph/Regulations/Issuances/2024/1195.pdf,
Philippines,Bangko Sentral ng Pilipinas (BSP),BSP Memorandum No. M-2024-015 (Guidelines on Pricing of Electronic Payments),2024.0,Bangko Sentral Supervised Institutions,"These guidelines contain recommendations on the e-payments pricing practices of BSPSupervised Institutions (BSls) and aim to ensure transparent, fair, and competitive pricing structures of payment services offered to end-users.
-Based on the BSI's assessment of its business model, it may consider providing flexible pricing plans catering to diverse user needs, allowing customization based on transaction requirements and user preferences. Pricing under these arrangements shall consider the relevant recommendations under these guidelines.",,"-The manner of disclosure should be easily accessible, especially where the terms and conditions tend to be deeply embedded and hard to access without scrolling or clicking through multiple screens. Payment service providers are required to inform consumers via a statement of account of the details of the fees, exchange rate and other charges incurred by the customer in each transaction, if any, preferably free of charge and at least annually. The same details of the fees may also be disclosed on a per transaction basis. This will ensure the provision of clear and comprehensible information to empower users to make informed decisions.
-In marketing its e-payments services, the BSI demonstrates adherence to appropriate and adequate disclosure and transparencywhen the manner of disclosure, whether in advertising materials, terms and conditions, and other forms of communication, is clear, concise, accurate, understandable and not misleading.",,"the pricing policy, processes, and procedures of a BSI should include detailed discussions on the rationale and quantitative support for determining fees. This documentation may cover the justification and basis for the fee structures and the amounts based on cost analysis and other pertinent information related to the factors influencing pricing decisions.  in crafting their pricing policies, processes, and procedures, BSIs may consider the price and cost drivers, cost analysis and accounting, regulatory consideration.

Guidelines provided covers
a. Reasonable and fair market-based pricing: BSI's pricing policies are expected to be reasonable and fair market-based, emphasizing the importance of avoiding price-fixing agreements, adopting competitive fair pricing strategies, and ensuring reasonable cost recovery.
b. Responsible pricing:  BSI is considered to practice responsible pricing if it adheres to the recommendations outlined in this Memorandum and provides e-payment services in a manner that is affordable for clients and sustainable for the BSi.
c. Transparent pricing: transparency in pricing is mainly achieved through appropriate fee disclosure to end-users and regulatory reporting",,,"Feedback mechanisms established by BSls should be able to support continuous improvement to meet end-user needs, such as allowing users to express concerns, report pricing issues, and provide feedback on pricing.",," BSIs may also opt to have their product governance mechanism assess whether algorithms that influence or determine pricing may be unfairly biased toward certain groups of people, especially vulnerable segments.",BSls are requested to participate in the BSP's annual Survey on Pricing Digital Payments related to their provision of digital payment services. ,,,https://www.bsp.gov.ph/Regulations/Issuances/2024/M-2024-015.pdf,https://www.bsp.gov.ph/Regulations/Issuances/2024/M-2024-015.pdf,
Singapore,Monetary Authority of Singapore (MAS),E-Payments User Protection Duties Guidelines,2024.0,Financial institutions and consumers,The responsible FI should act fairly and responsibly to the account holder at all times.,-The regulation provides for blocking of access to protected accounts to prevent further unauthorized access as well as a recovery mechanism                                 ,"The responsible FI must provide notification alerts on a real-time basis to the account holder of a protected account, when (i) his digital security token is activated; (ii) there is a login to a protected account issued by a relevant payment service provider on a new device; or (iii) any high-risk activities are performed on a protected account.
'-A responsible FI should inform every account holder of a protected account of the user protection duties, including providing such information on its website or mobile application, and in the Terms and Conditions provided to an account holder for any new protected account issued.                                                                
-The responsible FI may also resolve such a claim in a fair and reasonable manner. The responsible FI should communicate the claim resolution process and assessment to the account holder in a timely and transparent manner.",,"-Responsible FI should withhold and/or waive charges relating to transactions under dispute.                                                                          
- Where there are any charges or costs relating to the recovery of the unauthorised transaction amount (such as agent fee, arbitration charge, foreign exchange rate differences, professional fee) to be borne by the account holder, the responsible FI should disclose such charges to the account holder.Examples of charges directly relating to the disputed transaction include late payment fee, fall-below-balance service fee, telegraphic transfer commission, fees and charges facilitating the movement of funds during the responsible FI’s investigation of the disputed transaction and charges which are not within the FI’s control such as agent fee and cable charge for telegraphic transfer.","An account user of a protected account should not do any of the following:
(a) voluntarily disclose any access code to any third party, including the staff of any  responsible FI; 
(b) disclose the access code in a recognisable way on any payment account,  authentication device, or any container for the payment account
(c) keep a record of any access code in a way that allows any third party to easily misuse the access code.","-FIs to make reasonable efforts to recover sums sent in error by the account user Where the account holder or account user has initiated an erroneous transaction and requests to recover the funds
-Where an account holder has informed his responsible FI that he or an account user has initiated an erroneous transaction, and the account holder’s FI has informed the wrong recipient’s FI of the erroneous transaction, the FIs of both the account holder and of the wrong recipient should make reasonable efforts to recover the sum sent in error.
- Where the account holder does not agree with the responsible FI’s assessment of
liability, or where the responsible FI’s has assessed that the claim falls outside of Section 5,
the account holder and the responsible FI may proceed to commence other forms of dispute
resolution, including mediation at the Financial Industry Disputes Resolution Centre Ltd
(“FIDReC”) where the responsible FI is a FIDReC member.
-The responsible FI should have a dispute resolution process for handling any disputed
investigation.
-The responsible FI should assess and complete an investigation of any disputed
investigation raised by an account holder within 21 business days or where there are
exceptional circumstances23, within 45 business days of receipt of the disputed investigation","- The responsible FI should provide account holders of protected accounts with a
reporting channel that is available at all times for the purposes of reporting unauthorised or
erroneous transactions, and blocking further access via mobile and online channels to his
protected account.
-A responsible FI should assess any claim made by any account holder in relation to  any unauthorised transaction covered in Section 5 (“relevant claim”) for the purposes of  assessing the account holder’s liability. It should have a proper  governance structure and investigation process, involving representatives who are independent from business units who are to carry out the above assessment.","Regulation states the duties of the consumer in being aware of transaction risks through the following provisions:                                                                                                                                                                                                    - Account user to read content sent with access codes before completing payment transactions or high-risk activities.                                                                                                                                                                                                                                                                                                                                                                                                    -An account user of a protected account should read the risk warning messages sent by the responsible FI before proceeding to confirm the performance of high-risk activities.                                                                                       -A responsible FI should inform every account holder of a protected account of the user protection duties, including providing such information on its website or mobile application, and in the Terms and Conditions provided to an account holder for any new protected account issued.                                                                                                                                                                                                                                                                                -Responsible FI to inform account user of the risks and implications of performing high-risk activities. ", , ,,,https://www.mas.gov.sg/-/media/mas-media-library/regulation/guidelines/pso/e-payments-user-protection-guidelines-with-effect-from-16-dec-2024/e-payments-user-protection-guidelines-with-effect-from-16-december-2024.pdf,https://www.mas.gov.sg/-/media/mas-media-library/regulation/guidelines/pso/e-payments-user-protection-guidelines-with-effect-from-16-dec-2024/e-payments-user-protection-guidelines-with-effect-from-16-december-2024.pdf,
Singapore,Monetary Authority of Singapore (MAS),Guidelines On Shared Responsibility Framework,2024.0,Banks and relevant payment service providers that have issued a protected account (“responsible financial institutions” or “responsible FIs”); and mobile network operators under the Telecommunications Act 1999 which provide cellular mobile telephone services (“responsible telecommunications companies” or “responsible Telcos”).,"The responsible FI is to ensure continued delivery of key services and alternatives, where applicable. The responsible FI should also ensure that scheduled system downtime is not performed during periods where a high volume of transaction is expected.",,, ,,,"-The responsible FI is expected to bear any loss arising from a seemingly authorised  transaction if the loss arises from any non-compliance by the responsible FI with any duty
-The responsible Telco is expected to bear losses arising from a seemingly authorised  transaction perpetrated through SMS if:
(a) the responsible FI has complied with all of its duties
(b)  the loss arises from the responsible Telco’s non-compliance with any duty
-where the account holder is  deemed responsible, the account holder may seek alternative channels for redress

For processing claims in relation to any seemingly authorized transaction
(a) Claim Stage: aresponsible FI is the first and overall point of contact with the account holder. It will assess if the claim falls within the SRF’s scope (“relevant claim”), and inform a responsible Telco where applicable.
(b) Investigation Stage :A responsible FI and responsible Telco (where applicable) will conduct the
investigation
c) Outcome Stage: A responsible FI will inform the account holder of the investigation outcome. 
(d) Recourse Stage: Where an account holder is dissatisfied with the outcome at the Outcome
Stage, he may pursue further action through avenues of recourse such as the  Financial Industry Disputes Resolution Centre Ltd (“FIDReC”) or IMDA","The responsible FI must provide account holders of protected accounts with a reporting channel that is available at all times
for the purposes of prompt reporting and blocking of further seemingly authorised  transactions. The reporting channel must include a self-service feature to promptly
block further mobile and online access to the account holder’s protected accoun",,,,,,https://www.mas.gov.sg/-/media/mas-media-library/regulation/guidelines/pso/guidelines-on-shared-responsibility-framework/guidelines-on-shared-responsibility-framework.pdf,https://www.mas.gov.sg/-/media/mas-media-library/regulation/guidelines/pso/guidelines-on-shared-responsibility-framework/guidelines-on-shared-responsibility-framework.pdf,
